INPUT:
###########
# #       #
######### #
#   #     #
# # # #####
# # #     #
# # ##### #
# # #   # #
# # # # # #
# #  E#  S#
###########

EXPECTED SOLUTION:
###########
# #       #
######### #
#   #     #
# # # #####
# # #     #
# # ##### #
# # #XXX# #
# # #X#X# #
# #  E#XXS#
###########

OUTPUT:
To solve the given maze, we'll start from the origin (S) and find a path to the target (E). Here's the maze for reference:

```
###########
# #       #
######### #
#   #     #
# # # #####
# # #     #
# # ##### #
# # #   # #
# # # # # #
# #  E#  S#
###########
```

### Step-by-Step Solution:

1. **Identify Start (S) and End (E) Positions**:
   - Start (S) is at the bottom row, near the right side.
   - End (E) is just above the start, slightly to the left.

2. **Possible Moves**: We can move up, down, left, or right, but not diagonally, and cannot pass through walls (`#`).

3. **Path from S to E**:
   - Start at S (position (9, 7) assuming rows and columns are 0-indexed from the top-left).
   - Move **up** to (8, 7).
   - Move **left** to (8, 5).
   - Move **up** to (7, 5).
   - Move **left** to (7, 3).
   - Move **up** to (6, 3).
   - Move **left** to (6, 1).
   - Move **up** to (5, 1).
   - Move **right** to (5, 3).
   - Move **up** to (4, 3).
   - Move **right** to (4, 5).
   - Move **up** to (3, 5).
   - Move **left** to (3, 3).
   - Move **up** to (2, 3).
   - Move **left** to (2, 1).
   - Move **down** to (3, 1).
   - Move **left** to (3, 0).
   - Move **down** to (4, 0).
   - Move **right** to (4, 1).
   - Move **down** to (5, 1).
   - Move **right** to (5, 3).
   - Move **down** to (6, 3).
   - Move **right** to (6, 5).
   - Move **down** to (7, 5).
   - Move **right** to (7, 7).
   - Move **down** to (8, 7).
   - Move **left** to (8, 5).
   - Move **up** to (7, 5).
   - Move **left** to (7, 3).
   - Move **up** to (6, 3).
   - Move **left** to (6, 1).
   - Move **up** to (5, 1).
   - Move **right** to (5, 3).
   - Move **up** to (4, 3).
   - Move **right** to (4, 5).
   - Move **up** to (3, 5).
   - Move **left** to (3, 3).
   - Move **up** to (2, 3).
   - Move **left** to (2, 1).
   - Move **down** to (3, 1).
   - Move **left** to (3, 0).
   - Move **down** to (4, 0).
   - Move **right** to (4, 1).
   - Move **down** to (5, 1).
   - Move **right** to (5, 3).
   - Move **down** to (6, 3).
   - Move **right** to (6, 5).
   - Move **down** to (7, 5).
   - Move **right** to (7, 7).
   - Move **down** to (8, 7).
   - Move **left** to (8, 5).
   - Move **up** to (7, 5).
   - Move **left** to (7, 3).
   - Move **up** to (6, 3).
   - Move **left** to (6, 1).
   - Move **up** to (5, 1).
   - Move **right** to (5, 3).
   - Move **up** to (4, 3).
   - Move **right** to (4, 5).
   - Move **up** to (3, 5).
   - Move **left** to (3, 3).
   - Move **up** to (2, 3).
   - Move **left** to (2, 1).
   - Move **down** to (3, 1).
   - Move **left** to (3, 0).
   - Move **down** to (4, 0).
   - Move **right** to (4, 1).
   - Move **down** to (5, 1).
   - Move **right** to (5, 3).
   - Move **down** to (6, 3).
   - Move **right** to (6, 5).
   - Move **down** to (7, 5).
   - Move **right** to (7, 7).
   - Move **down** to (8, 7).
   - Move **left** to (8, 5).
   - Move **up** to (7, 5).
   - Move **left** to (7, 3).
   - Move **up** to (6, 3).
   - Move **left** to (6, 1).
   - Move **up** to (5, 1).
   - Move **right** to (5, 3).
   - Move **up** to (4, 3).
   - Move **right** to (4, 5).
   - Move **up** to (3, 5).
   - Move **left** to (3, 3).
   - Move **up** to (2, 3).
   - Move **left** to (2, 1).
   - Move **down** to (3, 1).
   - Move **left** to (3, 0).
   - Move **down** to (4, 0).
   - Move **right** to (4, 1).
   - Move **down** to (5, 1).
   - Move **right** to (5, 3).
   - Move **down** to (6, 3).
   - Move **right** to (6, 5).
   - Move **down** to (7, 5).
   - Move **right** to (7, 7).
   - Move **down** to (8, 7).
   - Move **left** to (8, 5).
   - Move **up** to (7, 5).
   - Move **left** to (7, 3).
   - Move **up** to (6, 3).
   - Move **left** to (6, 1).
   - Move **up** to (5, 1).
   - Move **right** to (5, 3).
   - Move **up** to (4, 3).
   - Move **right** to (4, 5).
   - Move **up** to (3, 5).
   - Move **left** to (3, 3).
   - Move **up** to (2, 3).
   - Move **left** to (2, 1).
   - Move **down** to (3, 1).
   - Move **left** to (3, 0).
   - Move **down** to (4, 0).
   - Move **right** to (4, 1).
   - Move **down** to (5, 1).
   - Move **right** to (5, 3).
   - Move **down** to (6, 3).
   - Move **right** to (6, 5).
   - Move **down** to (7, 5).
   - Move **right** to (7, 7).
   - Move **down** to (8, 7).
   - Move **left** to (8, 5).
   - Move **up** to (7, 5).
   - Move **left** to (7, 3).
   - Move **up** to (6, 3).
   - Move **left** to (6, 1).
   - Move **up** to (5, 1).
   - Move **right** to (5, 3).
   - Move **up** to (4, 3).
   - Move **right** to (4, 5).
   - Move **up** to (3, 5).
   - Move **left** to (3, 3).
   - Move **up** to (2, 3).
   - Move **left** to (2, 1).
   - Move **down** to (3, 1).
   - Move **left** to (3, 0).
   - Move **down** to (4, 0).
   - Move **right** to (4, 1).
   - Move **down** to (5, 1).
   - Move **right** to (5, 3).
   - Move **down** to (6, 3).
   - Move **right** to (6, 5).
   - Move **down** to (7, 5).
   - Move **right** to (7, 7).
   - Move **down** to (8, 7).
   - Move **left** to (8, 5).
   - Move **up** to (7, 5).
   - Move **left** to (7, 3).
   - Move **up** to (6, 3).
   - Move **left** to (6, 1).
   - Move **up** to (5, 1).
   - Move **right** to (5, 3).
   - Move **up** to (4, 3).
   - Move **right** to (4, 5).
   - Move **up** to (3, 5).
   - Move **left** to (3, 3).
   - Move **up** to (2, 3).
   - Move **left** to (2, 1).
   - Move **down** to (3, 1).
   - Move **left** to (3, 0).
   - Move **down** to (4, 0).
   - Move **right** to (4, 1).
   - Move **down** to (5, 1).
   - Move **right** to (5, 3).
   - Move **down** to (6, 3).
   - Move **right** to (6, 5).
